¿empresa famosa por sus icono de manzana?,apple
¿Qué es un conejo?,un vertebrado
¿Cuándo se instaló el primer semáforo?,1868
¿Con qué hito relaciona el fin de la Unión Soviética?,La caída del muro de Berlín
La escultura 'El David' que está en Florencia es obra de:,Leonardo Da Vinci
¿Quién escribió 'La Divina Comedia'?,Dante Alighieri
¿Cuál es el planeta más grande del Sistema Solar:,Júpiter
Grupo inglés originario de Liverpool que fue condecorado por la reina Isabel II de Inglaterra y son autores de la canción 'Yellow Submarine',- The Beatles
 La organización de la Iglesia Católica a través de la cual durante la Edad Media se castigaban las herejías y brujerías se denominó:,Inquisición
Se llama holocausto al hecho histórico ocurrido durante la II Guerra Mundial en el cual murieron en los campos de concentración millones de...:,Judíos 
¿Qué pintor español fue el padre del surrealismo llevaba un bigote largo y encorvado y entre sus obras se encuentra el cuadro 'El gran masturbador'?:,Salvador Dalí
Fue educado por Aristóteles a su muerte en 323 AC había conquistado el mayor imperio de todos los tiempos:,Alejandro Magno
Antónimo de Oriental,occidental
¿Cómo se llama el armazón de los aviones?,fuselaje
¿Cómo se llama a todos los países de América que hablan lenguas romance?,latinoamericanos
¿Cómo se llama a la representación de una palabra por medio de una o varias de sus letras?,Abreviatura
